element_id,tag_name,control_selector,text_content,id_attr,class_attr,href_attr,src_attr,all_attributes_json
26,link,link,,,,//fonts.googleapis.com/css2?family=Inter:wght@400;500&family=Inter+Tight:wght@300;500;600&display=swap,,"{""rel"": [""stylesheet""], ""href"": ""//fonts.googleapis.com/css2?family=Inter:wght@400;500&family=Inter+Tight:wght@300;500;600&display=swap""}"
27,link,link,,,,"https://fonts.googleapis.com/css2?family=Google+Sans+Text:ital,wght@0,400;0,500;0,600;1,400;1,500&display=block",,"{""rel"": [""stylesheet""], ""href"": ""https://fonts.googleapis.com/css2?family=Google+Sans+Text:ital,wght@0,400;0,500;0,600;1,400;1,500&display=block""}"
28,link,link,,,,_/MakerSuite/manifest.json,,"{""rel"": [""manifest""], ""crossorigin"": ""use-credentials"", ""href"": ""_/MakerSuite/manifest.json""}"
29,link,link,,,,/prompts/new_chat?utm_source=pwa&utm_medium=homescreen&lfhs=2,,"{""rel"": [""home""], ""href"": ""/prompts/new_chat?utm_source=pwa&utm_medium=homescreen&lfhs=2""}"
30,link,link,,,,/prompts/new_chat?utm_source=pwa&utm_medium=homescreen&lfhs=2,,"{""rel"": [""msapplication-starturl""], ""href"": ""/prompts/new_chat?utm_source=pwa&utm_medium=homescreen&lfhs=2""}"
31,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_32x32.png,,"{""rel"": [""icon""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_32x32.png"", ""sizes"": ""32x32""}"
32,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_32x32.png,,"{""rel"": [""apple-touch-icon-precomposed""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_32x32.png"", ""sizes"": ""32x32""}"
33,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_32x32.png,,"{""rel"": [""msapplication-square32x32logo""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_32x32.png"", ""sizes"": ""32x32""}"
34,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_64x64.png,,"{""rel"": [""icon""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_64x64.png"", ""sizes"": ""64x64""}"
35,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_64x64.png,,"{""rel"": [""apple-touch-icon-precomposed""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_64x64.png"", ""sizes"": ""64x64""}"
36,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_64x64.png,,"{""rel"": [""msapplication-square64x64logo""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_64x64.png"", ""sizes"": ""64x64""}"
37,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_96x96.png,,"{""rel"": [""icon""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_96x96.png"", ""sizes"": ""96x96""}"
38,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_96x96.png,,"{""rel"": [""apple-touch-icon-precomposed""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_96x96.png"", ""sizes"": ""96x96""}"
39,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_96x96.png,,"{""rel"": [""msapplication-square96x96logo""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_96x96.png"", ""sizes"": ""96x96""}"
40,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_128x128.png,,"{""rel"": [""icon""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_128x128.png"", ""sizes"": ""128x128""}"
41,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_128x128.png,,"{""rel"": [""apple-touch-icon-precomposed""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_128x128.png"", ""sizes"": ""128x128""}"
42,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_128x128.png,,"{""rel"": [""msapplication-square128x128logo""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_128x128.png"", ""sizes"": ""128x128""}"
43,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_180x180.png,,"{""rel"": [""icon""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_180x180.png"", ""sizes"": ""180x180""}"
44,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_180x180.png,,"{""rel"": [""apple-touch-icon-precomposed""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_180x180.png"", ""sizes"": ""180x180""}"
45,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_180x180.png,,"{""rel"": [""msapplication-square180x180logo""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_180x180.png"", ""sizes"": ""180x180""}"
46,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_256x256.png,,"{""rel"": [""icon""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_256x256.png"", ""sizes"": ""256x256""}"
47,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_256x256.png,,"{""rel"": [""apple-touch-icon-precomposed""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_256x256.png"", ""sizes"": ""256x256""}"
48,link,link,,,,//www.gstatic.com/aistudio/ai_studio_favicon_2_256x256.png,,"{""rel"": [""msapplication-square256x256logo""], ""href"": ""//www.gstatic.com/aistudio/ai_studio_favicon_2_256x256.png"", ""sizes"": ""256x256""}"
49,link,link,,,,https://www.gstatic.com/_/mss/boq-makersuite/_/js/k=boq-makersuite.MakerSuite.en_US.t6Ib3ioKKF0.2018.O/am=AEAIDA/d=1/excm=_b/ed=1/dg=0/br=1/wt=2/ujg=1/rs=AMOXD2-f5RWaYWVfRRFuq9WGkTg1klFAvw/m=_b,,"{""rel"": [""preload""], ""href"": ""https://www.gstatic.com/_/mss/boq-makersuite/_/js/k=boq-makersuite.MakerSuite.en_US.t6Ib3ioKKF0.2018.O/am=AEAIDA/d=1/excm=_b/ed=1/dg=0/br=1/wt=2/ujg=1/rs=AMOXD2-f5RWaYWVfRRFuq9WGkTg1klFAvw/m=_b"", ""as"": ""script"", ""nonce"": """"}"
50,link,link,,,,https://www.gstatic.com/_/mss/boq-makersuite/_/js/k=boq-makersuite.MakerSuite.en_US.t6Ib3ioKKF0.2018.O/ck=boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O/am=AEAIDA/d=1/exm=_b/excm=_b/ed=1/br=1/wt=2/ujg=1/rs=AMOXD29q4an3drZ2qFE8T_NnQoJQKR-nqA/m=XVDWwe,,"{""rel"": [""preload""], ""href"": ""https://www.gstatic.com/_/mss/boq-makersuite/_/js/k=boq-makersuite.MakerSuite.en_US.t6Ib3ioKKF0.2018.O/ck=boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O/am=AEAIDA/d=1/exm=_b/excm=_b/ed=1/br=1/wt=2/ujg=1/rs=AMOXD29q4an3drZ2qFE8T_NnQoJQKR-nqA/m=XVDWwe"", ""as"": ""script"", ""nonce"": """"}"
51,link,link,,,,"https://www.gstatic.com/_/mss/boq-makersuite/_/js/k=boq-makersuite.MakerSuite.en_US.t6Ib3ioKKF0.2018.O/ck=boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O/am=AEAIDA/d=1/exm=XVDWwe,_b/excm=_b/ed=1/br=1/wt=2/ujg=1/rs=AMOXD29q4an3drZ2qFE8T_NnQoJQKR-nqA/m=MV0Jlb",,"{""rel"": [""preload""], ""href"": ""https://www.gstatic.com/_/mss/boq-makersuite/_/js/k=boq-makersuite.MakerSuite.en_US.t6Ib3ioKKF0.2018.O/ck=boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O/am=AEAIDA/d=1/exm=XVDWwe,_b/excm=_b/ed=1/br=1/wt=2/ujg=1/rs=AMOXD29q4an3drZ2qFE8T_NnQoJQKR-nqA/m=MV0Jlb"", ""as"": ""script"", ""nonce"": """"}"
52,script,script,,,,,https://www.googletagmanager.com/gtag/js?id=G-P1DBVKWT6V&cx=c&gtm=45He5860v9168426611za200&tag_exp=101509157~103116026~103200004~103233427~104630779~104630781~104684208~104684211~105087538~105087540~105103161~105103163,"{""type"": ""text/javascript"", ""async"": """", ""src"": ""https://www.googletagmanager.com/gtag/js?id=G-P1DBVKWT6V&cx=c&gtm=45He5860v9168426611za200&tag_exp=101509157~103116026~103200004~103233427~104630779~104630781~104684208~104684211~105087538~105087540~105103161~105103163"", ""nonce"": """"}"
53,script,script,,,,,https://www.googletagmanager.com/gtag/js?id=G-RJSPDF5Y0Q&cx=c&gtm=45He5860v9168426611za200&tag_exp=101509157~103116026~103200004~103233427~104630779~104630781~104684208~104684211~105087538~105087540~105103161~105103163,"{""type"": ""text/javascript"", ""async"": """", ""src"": ""https://www.googletagmanager.com/gtag/js?id=G-RJSPDF5Y0Q&cx=c&gtm=45He5860v9168426611za200&tag_exp=101509157~103116026~103200004~103233427~104630779~104630781~104684208~104684211~105087538~105087540~105103161~105103163"", ""nonce"": """"}"
54,script,script,,,,,"https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.iFs_Bhrqdio.O/m=client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo-IvlQWaLHZdUKQFbafXd_3OEvU9Q/cb=gapi.loaded_0?le=scs,fedcm_migration_mod","{""src"": ""https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.iFs_Bhrqdio.O/m=client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo-IvlQWaLHZdUKQFbafXd_3OEvU9Q/cb=gapi.loaded_0?le=scs,fedcm_migration_mod"", ""nonce"": """", ""async"": """"}"
55,script,script,,,,,https://www.googletagmanager.com/gtm.js?id=GTM-TT9C75WP,"{""async"": """", ""nonce"": """", ""src"": ""https://www.googletagmanager.com/gtm.js?id=GTM-TT9C75WP""}"
56,script,script,"window.WIZ_global_data = {""CoJqbf"":""https://alkalimakersuite-pa.clients6.google.com"",""DpimGf"":false,""EBvNTe"":""823511539352-ojaretejk1s95sdvkic0te923pt7knpu.apps.googleusercontent.com"",""EP1ykd"":[""/_/*"",""/accounts/*"",""/app"",""/app/*""],""FdrFJe"":""-6591339388227188871"",""HiPsbb"":1,""Im6cmf"":""/_/MakerSuite"",""LoQv7e"":true,""MUE6Ne"":""MakerSuite"",""MsAAre"":false,""OC2PJe"":""https://people-pa.googleapis.com"",""Onibif"":""https://webchannel-alkalimakersuite-pa.clients6.google.com"",""PeqOqb"":""AIzaSyBMkT3C6wEWAJmpaF6WXKs1W9CThdaYuq8"",""PgS1Kc"":""https://content.googleapis.com"",""QrtxK"":""0"",""S06Grb"":""102150182792721713565"",""S6lZl"":96797242,""SNlM0e"":""AGEZtMhBExBisqZEEAzulKuxX2Hm:1754588325855"",""TSDtV"":""%.@.[[null,[[45646711,null,false,null,null,null,\""aKSrdd\""],[45708956,null,true,null,null,null,\""bJoGpe\""],[45711325,null,false,null,null,null,\""tsSK9\""],[45711821,null,false,null,null,null,\""W8pQzf\""],[45715091,null,false,null,null,null,\""ObBthe\""],[45693571,null,true,null,null,null,\""DNwtgf\""],[45714307,null,false,null,null,null,\""r44KIf\""],[45701563,0,null,null,null,null,\""ioZUad\""],[45690615,null,false,null,null,null,\""WbksOe\""],[45714770,null,true,null,null,null,\""hZ7vuc\""],[45716158,null,false,null,null,null,\""j1MtL\""],[45714726,null,false,null,null,null,\""mIIxF\""],[45689743,null,false,null,null,null,\""BoFdPd\""],[45714250,null,false,null,null,null,\""t52vxe\""],[45688240,1,null,null,null,null,\""AyTLw\""],[45708381,null,false,null,null,null,\""JkACyc\""],[45711473,null,true,null,null,null,\""T7Tivf\""],[45696911,null,true,null,null,null,\""XqCVle\""],[45700952,null,true,null,null,null,\""qaWDif\""],[45714903,null,false,null,null,null,\""JUFtpb\""],[45711945,null,false,null,null,null,\""NZWJaf\""],[45667564,null,false,null,null,null,\""EiSoTc\""],[45712567,null,false,null,null,null,\""S8JUQd\""],[45692983,null,false,null,null,null,\""JbNLYb\""],[45694412,null,false,null,null,null,\""SbCVZ\""],[45714701,null,false,null,null,null,\""yuBAye\""],[45689587,null,false,null,null,null,\""YK3of\""],[45702430,null,false,null,null,null,\""TSrQhc\""],[45696637,null,true,null,null,null,\""JdM8Oc\""],[45712153,null,false,null,null,null,\""aynkwb\""],[45706682,null,false,null,null,null,\""Aig5pd\""],[45714288,null,false,null,null,null,\""xE23bd\""],[45712847,null,false,null,null,null,\""tLu3df\""],[45711677,null,false,null,null,null,\""ys35dd\""],[45650352,null,false,null,null,null,\""mFJ6Kb\""],[45665991,null,true,null,null,null,\""j9uEOd\""],[45715146,null,false,null,null,null,\""C3cBAf\""],[45715846,null,false,null,null,null,\""evJYje\""],[45709013,null,true,null,null,null,\""fPn4sb\""],[45459555,null,false,null,null,null,\""Imeoqb\""],[45717293,null,false,null,null,null,\""rLjj5e\""],[45694940,null,false,null,null,null,\""alVtOb\""],[45670190,null,false,null,null,null,\""ArIgzf\""],[45630238,null,true,null,null,null,\""iWHD4d\""],[45675258,null,false,null,null,null,\""z2PIFf\""],[45699838,null,true,null,null,null,\""pWRAn\""],[45694376,null,true,null,null,null,\""XS2dI\""],[45702536,null,false,null,null,null,\""oPXCzc\""],[45714771,null,false,null,null,null,\""YIHLyc\""],[45647565,null,true,null,null,null,\""yuD5ld\""],[45696407,null,false,null,null,null,\""bFWLhc\""],[45680344,null,true,null,null,null,\""OI7oA\""],[45714314,null,false,null,null,null,\""Yd6nNc\""],[45684752,null,false,null,null,null,\""DSCSzd\""],[45714094,null,false,null,null,null,\""DvNng\""],[45656121,null,false,null,null,null,\""msr4Z\""],[45630799,null,true,null,null,null,\""vrcXwe\""],[45690021,null,true,null,null,null,\""MgSjcd\""],[45648494,null,true,null,null,null,\""Xc0SDe\""],[45706681,null,false,null,null,null,\""jHWDYe\""],[45657411,null,true,null,null,null,\""yhYKDc\""],[45702515,null,false,null,null,null,\""GSv0od\""],[45711164,null,false,null,null,null,\""piC4Pb\""],[45677430,null,true,null,null,null,\""is1aUe\""],[45707245,null,false,null,null,null,\""gPINwc\""],[45710736,null,false,null,null,null,\""KB3UD\""],[45712446,null,false,null,null,null,\""HV3B8c\""],[45712455,null,false,null,null,null,\""Q4wjve\""],[45693013,null,false,null,null,null,\""yxU4Ff\""],[45701750,null,true,null,null,null,\""A0fhfc\""],[45716130,null,null,null,\""\"",null,\""Qy4uld\""],[45712630,null,false,null,null,null,\""NJNHHb\""],[45706688,null,null,null,\""\"",null,\""txTiOe\""]],\""CAMSKh0vwczuKQ/bkAYPgt0FD7BjD6DZAg+lrwUPoTYPxLS3BA+BhQUPhMsEDw\\u003d\\u003d\""]]]"",""UUFaWc"":""%.@.null,1000,2]"",""UsvuEb"":true,""Vvafkd"":false,""W3Yyqf"":""102150182792721713565"",""WIu0Nc"":""AIzaSyDdP816MREB3SkjZO04QXbjsigfcI0GWOs"",""WZsZ1e"":""kwtGhM1vf6um9F6K/AdSSO1tvpamjQm4X6"",""b5W2zf"":""default_MakerSuite"",""cfb2h"":""boq_alkali-makersuite_20250804.15_p1"",""fPDxwd"":[98198991,98218421,98407522,98413842],""gGcLoe"":false,""iCzhFc"":false,""k76Vlc"":[],""kFsUdb"":""https://docs.google.com/picker"",""mXaIFf"":false,""nPAWmd"":""https://cloudconsole-pa.clients6.google.com"",""nQyAE"":{},""oPEP7c"":""mhialdenmostafa@gmail.com"",""p9hQne"":""https://www.gstatic.com/_/boq-makersuite/_/r/"",""qDCSke"":""102150182792721713565"",""qwAQke"":""MakerSuite"",""rtQCxc"":-540,""u4g7r"":""%.@.null,1,2]"",""vJQk6"":false,""xTIpW"":""Released Gemini 2.0 Flash, 2.0 Flash-Lite Preview, 2.0 Pro Experimental, and more"",""xnI9P"":true,""xwAfE"":true,""y2FhP"":""prod"",""yFnxrf"":1957,""zBpHOc"":""https://accounts.google.com/o/oauth2/auth"",""zChJod"":""%.@.]"",""zSAhZc"":""https://accounts.google.com/o/oauth2/iframe""};",,,,,"{""data-id"": ""_gd"", ""nonce"": """"}"
57,script,script,,,,,,"{""nonce"": """"}"
58,script,script,var _F_cssRowKey = 'boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O';var _F_combinedSignature = 'AMOXD29q4an3drZ2qFE8T_NnQoJQKR-nqA';function _DumpException(e) {throw e;},,,,,"{""nonce"": """"}"
59,link,link,,,,https://www.gstatic.com/_/mss/boq-makersuite/_/ss/k=boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O/am=AEAIDA/d=1/ed=1/rs=AMOXD2-qM3MoiE9_a_sFK0crpIJ1YbPDcg/m=_b,,"{""rel"": [""stylesheet""], ""href"": ""https://www.gstatic.com/_/mss/boq-makersuite/_/ss/k=boq-makersuite.MakerSuite.45AwjyHmITw.L.B1.O/am=AEAIDA/d=1/ed=1/rs=AMOXD2-qM3MoiE9_a_sFK0crpIJ1YbPDcg/m=_b"", ""data-id"": ""_cl"", ""nonce"": """"}"
